round,entryId,intrinsicValue,priority,activation,userSilence,modelSilence,state,userHit,modelHit
13,wb_mix_今天下午,15,80,46.391,0,0,Active,1,0
13,wb_mix_上周电影,15,80,29.148,6,1,Dormant,0,0
13,wb_mix_天气,15,80,0.000,9,4,Archived,0,0
14,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
14,wb_mix_昔涟主角,90,200,51.294,8,8,Active,0,0
14,wb_mix_哀丽秘榭,70,150,100.000,0,0,Active,1,0
14,wb_mix_咖啡,45,100,0.000,11,11,Archived,0,0
14,wb_mix_Blender,45,100,0.000,15,15,Archived,0,0
14,wb_mix_猫,45,100,20.582,6,6,Dormant,0,0
14,wb_mix_星穹铁道,45,100,41.243,3,3,Active,0,0
14,wb_mix_今天下午,15,80,46.381,1,0,Active,0,1
14,wb_mix_上周电影,15,80,9.861,7,2,Dormant,0,0
14,wb_mix_天气,15,80,0.000,10,5,Archived,0,0
15,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
15,wb_mix_昔涟主角,90,200,35.925,9,9,Active,0,0
15,wb_mix_哀丽秘榭,70,150,99.785,1,1,Active,0,0
15,wb_mix_咖啡,45,100,0.000,12,12,Archived,0,0
15,wb_mix_Blender,45,100,0.000,16,16,Archived,0,0
15,wb_mix_猫,45,100,7.434,7,7,Dormant,0,0
15,wb_mix_星穹铁道,45,100,36.950,4,4,Active,0,0
15,wb_mix_今天下午,15,80,44.754,2,1,Active,0,0
15,wb_mix_上周电影,15,80,0.000,8,3,Archived,0,0
15,wb_mix_天气,15,80,0.000,11,6,Archived,0,0
16,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
16,wb_mix_昔涟主角,90,200,16.951,10,10,Dormant,0,0
16,wb_mix_哀丽秘榭,70,150,98.924,2,2,Active,0,0
16,wb_mix_咖啡,45,100,0.000,13,13,Archived,0,0
16,wb_mix_Blender,45,100,0.000,17,17,Archived,0,0
16,wb_mix_猫,45,100,0.000,8,8,Archived,0,0
16,wb_mix_星穹铁道,45,100,30.242,5,5,Active,0,0
16,wb_mix_今天下午,15,80,40.958,3,2,Active,0,0
16,wb_mix_上周电影,15,80,0.000,9,4,Archived,0,0
16,wb_mix_天气,15,80,44.849,0,0,Active,1,0
17,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
17,wb_mix_昔涟主角,90,200,0.000,11,11,Archived,0,0
17,wb_mix_哀丽秘榭,70,150,96.988,3,3,Active,0,0
17,wb_mix_咖啡,45,100,0.000,14,14,Archived,0,0
17,wb_mix_Blender,45,100,0.000,18,18,Archived,0,0
17,wb_mix_猫,45,100,0.000,9,0,Archived,0,1
17,wb_mix_星穹铁道,45,100,20.582,6,6,Dormant,0,0
17,wb_mix_今天下午,15,80,34.064,4,3,Active,0,0
17,wb_mix_上周电影,15,80,0.000,10,5,Archived,0,0
17,wb_mix_天气,15,80,44.384,1,1,Active,0,0
18,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
18,wb_mix_昔涟主角,90,200,0.000,12,12,Archived,0,0
18,wb_mix_哀丽秘榭,70,150,96.978,4,0,Active,0,1
18,wb_mix_咖啡,45,100,0.000,15,15,Archived,0,0
18,wb_mix_Blender,45,100,49.444,0,0,Active,1,0
18,wb_mix_猫,45,100,0.000,10,1,Archived,0,0
18,wb_mix_星穹铁道,45,100,7.434,7,7,Dormant,0,0
18,wb_mix_今天下午,15,80,23.143,5,4,Dormant,0,0
